"constituency_name","polling_station_code","polling_station_name","votes_cast","julius_makau_malombe","jonathan_mwangangi_mueke","david_musila","charity_kaluki_ngilu","winner"
"MWINGI NORTH","15067033313901","MUTHWANI PRI SCH",316,160,4,149,3,"Malombe"
"MWINGI NORTH","15067033314001","NDOO PRI SCH",170,96,2,67,3,"Malombe"
"MWINGI NORTH","15067033314101","TYAA/KAMUTHALE SEC SCH",192,58,2,130,1,"Musila"
"MWINGI NORTH","15067033314201","KAMULYO FEEDER SCHOOL.",171,82,4,78,2,"Malombe"
"MWINGI NORTH","15067033314301","NDATHA PRI SCH",128,29,2,95,1,"Musila"
"MWINGI NORTH","15067033322301","MWANGU PRI SCHOOL",74,44,1,28,1,"Malombe"
"MWINGI NORTH","15067033322401","KYUMBE PRI SCHOOL",70,19,4,45,1,"Musila"
"MWINGI NORTH","15067033322501","KATANGINI PRI SCHOOL",127,42,3,75,3,"Musila"
"MWINGI NORTH","15067033322601","KASYONGO PRI SCHOOL",143,41,2,96,3,"Musila"
"MWINGI NORTH","15067033322701","ABC KASEVI PRI SCHOOL",17,11,0,6,0,"Malombe"
"MWINGI NORTH","15067033322801","KANGOMO PRI SCHOOL",35,10,1,24,0,"Musila"
"MWINGI NORTH","15067033322901","KITUNGI PRI SCHOOL",42,12,3,26,1,"Musila"
"MWINGI NORTH","15067033323001","MUTHIMI FEEDER SCHOOL",35,5,1,29,0,"Musila"
"MWINGI NORTH","15067033323101","KIKUMINI PRI SCHOOL",36,12,0,24,0,"Musila"
"MWINGI NORTH","15067033414401","KAIVIRYA PRI SCH",164,125,3,32,0,"Malombe"
"MWINGI NORTH","15067033414501","KANGARAI PRE SCHOOL",102,79,5,11,1,"Malombe"
"MWINGI NORTH","15067033414601","KAVUTONI PRIMARY SCHOOL",100,85,0,15,0,"Malombe"
"MWINGI NORTH","15067033414701","MWANGEA PRI SCH",323,235,1,85,1,"Malombe"
"MWINGI NORTH","15067033414801","KISIUNI NUR SCH",137,33,2,98,3,"Musila"
"MWINGI NORTH","15067033414901","KITHAIYONI PRI SCH",166,94,0,70,0,"Malombe"
"MWINGI NORTH","15067033415001","MANANDU PRI SCH",339,168,4,158,4,"Malombe"
"MWINGI NORTH","15067033415101","MUANGENI PRE SCHOOL",174,155,2,15,1,"Malombe"
"MWINGI NORTH","15067033415201","MUKAMENI PRIMARY SCHOOL",65,35,2,27,0,"Malombe"
"MWINGI NORTH","15067033415301","NZANZENI PRI SCH",217,175,0,38,3,"Malombe"
"MWINGI NORTH","15067033415401","KWA NGONDI NUR SCH",181,85,1,90,3,"Musila"
"MWINGI NORTH","15067033415501","KWA NZULA PRI SCH",174,56,3,114,0,"Musila"
"MWINGI NORTH","15067033415601","MATHUNYANI FEEDER SCHOOL",100,27,0,70,0,"Musila"
"MWINGI NORTH","15067033415701","MULANGONI PRI SCH",294,123,1,169,1,"Musila"
"MWINGI NORTH","15067033415801","NDOONI PRI SCH",285,215,4,64,1,"Malombe"
"MWINGI NORTH","15067033415901","IKATHIMA PRI SCH",66,23,2,37,3,"Musila"
"MWINGI NORTH","15067033416001","ITHOKA PRI SCH",148,43,1,102,2,"Musila"
"MWINGI NORTH","15067033416101","KASAINI PRI SCH",77,31,0,42,0,"Musila"
"MWINGI NORTH","15067033416201","KASELUNI NURSERY SCHOOL",165,58,2,100,3,"Musila"
"MWINGI NORTH","15067033416301","KINOLU PRI SCH",208,117,0,87,0,"Malombe"
"MWINGI NORTH","15067033416401","MANG ULU FEEDER SCHOOL",161,37,2,117,3,"Musila"
"MWINGI NORTH","15067033416501","MASYUNGWA PRI SCH",310,143,3,160,2,"Musila"
"MWINGI NORTH","15067033416601","KAIMEA FEEDER SCHOOL",94,26,2,65,1,"Musila"
"MWINGI NORTH","15067033416701","KAKAUNI PRI SCH",172,91,4,74,2,"Malombe"
"MWINGI NORTH","15067033416801","KATILINGE PRI SCH",319,114,7,190,2,"Musila"
"MWINGI NORTH","15067033416901","KATUMBI PRI SCH",210,127,2,77,2,"Malombe"
"MWINGI NORTH","15067033417001","SYOMAVUO NUR SCH",60,32,0,27,0,"Malombe"
"MWINGI NORTH","15067033417101","KAIKULI PRIMARY SCHOOL",81,28,1,50,2,"Musila"
"MWINGI NORTH","15067033417201","KAMALI PRI SCH",215,95,7,111,1,"Musila"
"MWINGI NORTH","15067033417301","KYENINI PRI SCH",216,59,3,150,3,"Musila"
"MWINGI NORTH","15067033417401","MUSAVANI PRI SCH",330,145,3,175,6,"Musila"
"MWINGI NORTH","15067033417501","WIKITHUKI NUR SCH",241,48,3,185,3,"Musila"
